city,idx,name,img,w,h,ratio,bytes,page,credit,reason
parma,2,Palazzo della Pilotta,images/landmarks/parma-palazzo-della-pilotta.webp,1200,449,2.673,93488,"https://commons.wikimedia.org/wiki/File:Parma,_palazzo_della_pilotta_01.jpg",,ultra-wide
bengaluru,0,Vidhana Soudha,images/landmarks/bengaluru-vidhana-soudha.webp,1200,446,2.691,64218,https://en.wikipedia.org/wiki/Vidhana_Soudha,,ultra-wide
saint-john-s,6,Fort Barrington,images/landmarks/saint-johns-fort-barrington.webp,1200,445,2.697,78632,https://commons.wikimedia.org/wiki/File:Fort_Barrington_defensless_against_tourist_invasion_(16627845017).jpg,,ultra-wide
capri,9,Certosa di San Giacomo,images/landmarks/capri-certosa-di-san-giacomo.webp,1200,440,2.727,79726,https://commons.wikimedia.org/w/index.php?search=Certosa%20di%20San%20Giacomo%20Capri&title=Special:MediaSearch,,ultra-wide
dubrovnik,8,Lokrum Island,images/landmarks/dubrovnik-lokrum-island.webp,1200,437,2.746,30920,"https://commons.wikimedia.org/wiki/File:Isla_de_Lokrum,_Croacia,_2014-04-14,_DD_01.JPG",,ultra-wide
samarkand,5,Siyob Bazaar,images/landmarks/samarkand-siyob-bazaar.webp,1200,437,2.746,123204,https://commons.wikimedia.org/wiki/File:13S_20240410_110.jpg,,ultra-wide
edinburgh,1,Arthur's Seat,images/landmarks/edinburgh-arthur-s-seat.webp,1200,436,2.752,82938,"https://commons.wikimedia.org/wiki/File:Arthur's_Seat,_Edinburgh.JPG",,ultra-wide
granada,0,The Alhambra and Nasrid Palaces,images/landmarks/granada-alhambra-nasrid-palaces.webp,1200,436,2.752,116792,"https://commons.wikimedia.org/wiki/File:Nasrid_Palaces_and_Palace_of_Charles_V._Alhambra,_Granada._Spain.jpg",,ultra-wide
foz-do-iguacu,1,Garganta del Diablo (Argentine Side),images/landmarks/foz-do-iguacu-garganta-del-diablo.webp,1200,434,2.765,70434,https://commons.wikimedia.org/wiki/File:Garganta_del_Diablo_Panorama_2009_AR.jpg,,ultra-wide
knysna,1,Featherbed Nature Reserve,images/landmarks/knysna-featherbed-nature-reserve.webp,1200,434,2.765,129432,https://commons.wikimedia.org/wiki/File:Knysna_Head_West.jpg,,ultra-wide
santa-marta,7,Playa Cristal,images/landmarks/santa-marta-playa-cristal.webp,1200,427,2.81,99100,https://commons.wikimedia.org/wiki/File:Santa_Marta_-_Playa_Cristal_en_el_Tayrona_-_panoramio.jpg,,ultra-wide
lugano,0,Piazza della Riforma,images/landmarks/lugano-piazza-della-riforma.webp,1200,426,2.817,115246,"https://commons.wikimedia.org/wiki/File:Piazza_della_Riforma,_Lugano_4.jpg",,ultra-wide
ushuaia,5,Laguna Esmeralda,images/landmarks/ushuaia-laguna-esmeralda.webp,1200,424,2.83,156150,"https://commons.wikimedia.org/wiki/File:Laguna_Esmeralda,_Ushuaia,_Tierra_del_Fuego,_Argentina.jpg",,ultra-wide
