City,Item,Column,Old,New
Amman,Abdoun,Hood 4 Photo File,,images/hoods/amman--abdoun.webp
Amman,Abdoun,Hood 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:The_Byzantine_Abdoun_press_01.jpg
Amman,Abdali,Hood 5 Photo File,,images/hoods/amman--abdali.webp
Amman,Abdali,Hood 5 Photo Credit,,https://commons.wikimedia.org/wiki/File:Amman_Coptic_Church.jpg
Amritsar,hero,City Photo File,images/cities/amritsar.jpg,images/cities/amritsar.webp
Amritsar,Golden Temple & Heritage Street,Hood 1 Photo File,,images/hoods/amritsar--golden-temple-heritage-street.webp
Amritsar,Golden Temple & Heritage Street,Hood 1 Photo Credit,,"https://commons.wikimedia.org/wiki/File:2017_morning_lines_into_sanctum,_south_side_entrance_marble_dome_Golden_temple_Amritsar.jpg"
Amritsar,Hall Bazaar,Hood 2 Photo File,,images/hoods/amritsar--hall-bazaar.webp
Amritsar,Hall Bazaar,Hood 2 Photo Credit,,https://www.flickr.com/photos/77742560@N06/38222379864/
Amritsar,Lawrence Road,Hood 3 Photo File,,images/hoods/amritsar--lawrence-road.webp
Amritsar,Lawrence Road,Hood 3 Photo Credit,,https://commons.wikimedia.org/wiki/File:Post_box_on_Lawrence_Road.jpg
Amritsar,Ranjit Avenue,Hood 4 Photo File,,images/hoods/amritsar--ranjit-avenue.webp
Amritsar,Ranjit Avenue,Hood 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:Gurdwara_Sarab_Sanjhi_Gurbani.jpg
Amsterdam,hero,City Photo File,images/cities/amsterdam.jpg,images/cities/amsterdam.webp
Amsterdam,Jordaan,Hood 1 Photo File,images/hoods/amsterdam--jordaan.jpg,images/hoods/amsterdam--jordaan.webp
Amsterdam,Canal Ring,Hood 2 Photo File,images/hoods/amsterdam--canal-ring.jpg,images/hoods/amsterdam--canal-ring.webp
Amsterdam,De Pijp,Hood 3 Photo File,images/hoods/amsterdam--de-pijp.jpg,images/hoods/amsterdam--de-pijp.webp
Amsterdam,Centrum,Hood 5 Photo File,images/hoods/amsterdam--centrum.jpg,images/hoods/amsterdam--centrum.webp
Anaheim,hero,City Photo File,images/cities/anaheim.jpg,images/cities/anaheim.webp
Anaheim,Anaheim Resort District,Hood 1 Photo File,,images/hoods/anaheim--anaheim-resort-district.webp
