city,idx,name,img,w,h,ratio,page
madrid,9,Santiago Bernabeu Stadium,images/landmarks/madrid-santiago-bernabeu-stadium.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Estadio_Santiago_Bernabéu_-_01.jpg
madurai,4,Koodal Azhagar Temple,images/landmarks/madurai-koodal-azhagar-temple.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Madurai_Koodal_Alagar_Temple_Tower.jpg
makassar,6,Makassar Great Mosque (Masjid Raya Makassar),images/landmarks/makassar-masjid-raya-makassar.webp,900,1200,0.75,https://commons.wikimedia.org/wiki/File:Masjid_Raya_Makassar.JPG
makassar,9,La Galigo Museum,images/landmarks/makassar-la-galigo-museum.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Museum_La_Galigo_Makassar_01.jpg
malabo,0,Santa Isabel Cathedral,images/landmarks/malabo-santa-isabel-cathedral.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Santa_Isabel_Malabo_20131224_140204.jpg
malacca,4,Baba and Nyonya Heritage Museum,images/landmarks/malacca-baba-nyonya-heritage-museum.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Baba_Nyonya_Museum.JPG
malacca,9,Maritime Museum (Flor de la Mar),images/landmarks/malacca-maritime-museum.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Maritime_Museum_in_Malacca_City_(2).jpg
malang,2,Kayutangan Heritage Street,images/landmarks/malang-kayutangan-heritage-street.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:12_270925_kampoeng_heritage_kayutangan.jpg
malang,4,Candi Singosari,images/landmarks/malang-candi-singosari.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Candi_Singosari_07_20251124.jpg
malmo,0,Turning Torso,images/landmarks/malmo-turning-torso.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Turning_Torso_2.jpg
manchester,9,National Football Museum (Urbis),images/landmarks/manchester-national-football-museum-urbis.webp,800,1067,0.75,https://commons.wikimedia.org/wiki/File:Urbis_Building_-_The_National_Football_Museum_-_geograph.org.uk_-_6570748.jpg
mandalay,9,Inwa (Ava) Ancient City,images/landmarks/mandalay-inwa-ava-ancient-city.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Pillars_at_Bagaya_Kyaung_-_Teak_Monastery_-_Inwa_(Ava)_-_Outside_Mandalay_-_Myanmar_(Burma)_-_01_(11995916635).jpg
manzhouli,7,Manzhouli Wedding Palace,images/landmarks/manzhouli-manzhouli-wedding-palace.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Manzhouli_Wedding_Palace.jpg
manzhouli,9,41st Boundary Marker (Sino-Russian border stone),images/landmarks/manzhouli-41st-boundary-marker.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:No._41_Boundary_Marker_at_China%E2%80%93Russia_Border_1.jpg
mar-del-plata,4,Catedral de los Santos Pedro y Cecilia,images/landmarks/mar-del-plata-catedral-de-los-santos-pedro-y-cecilia.webp,960,1280,0.75,"https://commons.wikimedia.org/wiki/File:Catedral_de_los_Santos_Pedro_y_Cecilia,_Mar_del_Plata,_Argentina.JPG"
marbella,0,Casco Antiguo (Old Town),images/landmarks/marbella-casco-antiguo-old-town.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Marbella_Old_town_1.JPG
marbella,1,Plaza de los Naranjos,images/landmarks/marbella-plaza-de-los-naranjos.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Marbella_-_Plaza_de_los_Naranjos_1.jpg
marbella,3,Avenida del Mar,images/landmarks/marbella-avenida-del-mar.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Salvador_Dali_Statues_in_Marbella.jpg
marbella,4,Iglesia Mayor de la Encarnación,images/landmarks/marbella-iglesia-mayor-de-la-encarnacion.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Marbella_-_Iglesia_de_Nuestra_Señora_de_la_Encarnación_06.jpg
marbella,5,Parque de la Alameda,images/landmarks/marbella-parque-de-la-alameda.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Marbella_-_Parque_de_la_Alameda_01.jpg
marbella,6,Paseo Marítimo,images/landmarks/marbella-paseo-maritimo.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Marbella_-_Paseo_Marítimo_01.jpg
mardin,3,Kasımiye Medrese,images/landmarks/mardin-kasimiye-medrese.webp,1200,1600,0.75,"https://commons.wikimedia.org/wiki/File:Kasımiye_medrese,_Mardin,_Turkey.JPG"
marrakech,4,Saadian Tombs,images/landmarks/marrakech-saadian-tombs.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Saadian_Tombs_1044-HDR.jpg
marrakech,5,Medina of Marrakesh (Souks),images/landmarks/marrakech-medina-souks.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Medina_of_Marrakesh_(35199965555).jpg
marseille,3,Le Panier,images/landmarks/marseille-le-panier.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Marseille_-_Le_Panier.JPG
mashhad,5,Central Museum of Astan Quds Razavi,images/landmarks/mashhad-central-museum-of-astan-quds-razavi.webp,1200,1599,0.75,https://en.wikipedia.org/wiki/Central_Library_of_Astan_Quds_Razavi
mashhad,7,Gonbad-e Sabz (Green Dome),images/landmarks/mashhad-gonbad-e-sabz-green-dome.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Green_Dome_-_Mashhad_-_04.jpg
